product,category,launch_date,year,sentiment_change,stock_change_pct,volume_change,pre_sentiment_mean,post_sentiment_mean,pre_stock_mean,post_stock_mean,t_statistic,p_value,significant,sample_size
Galaxy S21 Series,Galaxy S Series,2021-01-14,2021,-0.39910978481861203,-2.642594221310126,-15.269458128078824,3.517665882108864,3.118556097290252,87711.42857142857,85393.57142857143,5.147569266656567,8.933232819736482e-06,True,39
Galaxy S21 Ultra,Galaxy S Series,2021-01-14,2021,-0.39910978481861203,-2.642594221310126,-15.269458128078824,3.517665882108864,3.118556097290252,87711.42857142857,85393.57142857143,5.147569266656567,8.933232819736482e-06,True,39
Galaxy Book Pro Series,Galaxy Book,2021-04-28,2021,-0.1377698859284564,-3.3750311138348343,-6.509676284306835,3.4348114904827747,3.2970416045543183,83672.85714285713,80848.87218045113,3.2314183572008686,0.0020823366851433593,True,57
Galaxy Z Fold3,Galaxy Z Series,2021-08-11,2021,0.042208572862539206,-5.3387189224045315,-4.112068965517238,3.3218451198691574,3.3640536927316966,79754.28571428571,75496.42857142857,-0.8626653617603122,0.39206755048954123,False,57
Galaxy Z Flip3,Galaxy Z Series,2021-08-11,2021,0.042208572862539206,-5.3387189224045315,-4.112068965517238,3.3218451198691574,3.3640536927316966,79754.28571428571,75496.42857142857,-0.8626653617603122,0.39206755048954123,False,57
Galaxy Watch4,Galaxy Watch,2021-08-11,2021,0.042208572862539206,-5.3387189224045315,-4.112068965517238,3.3218451198691574,3.3640536927316966,79754.28571428571,75496.42857142857,-0.8626653617603122,0.39206755048954123,False,57
Galaxy S21 FE,Galaxy S Series,2021-10-20,2021,0.027995283797370263,-2.8623901958547235,-3.85960591133005,3.1274790983161225,3.1554743821134927,72599.15966386555,70521.08843537414,-0.678524129903645,0.5002845441030005,False,57
Galaxy S22 Series,Galaxy S Series,2022-02-09,2022,-0.21703762390122705,-2.959854102543146,-6.791695988740326,3.494405755433557,3.27736813153233,75252.94117647059,73025.56390977444,4.031362063245156,0.0001721699843945539,True,57
Galaxy S22 Ultra,Galaxy S Series,2022-02-09,2022,-0.21703762390122705,-2.959854102543146,-6.791695988740326,3.494405755433557,3.27736813153233,75252.94117647059,73025.56390977444,4.031362063245156,0.0001721699843945539,True,57
Galaxy A Series,Galaxy A Series,2022-04-08,2022,-0.14387951551260292,-3.9920568305116024,10.395672061928227,3.222787150729114,3.078907635216511,69781.42857142858,66995.71428571429,4.612688165895598,2.4170870564653356e-05,True,57
Galaxy Z Fold4,Galaxy Z Series,2022-08-10,2022,0.07850460339719945,-2.6616281935430632,-6.787825475017602,2.9927680798350997,3.071272683232299,60865.0,59245.000000000015,-2.125955542057236,0.03801119932992395,True,57
Galaxy Z Flip4,Galaxy Z Series,2022-08-10,2022,0.07850460339719945,-2.6616281935430632,-6.787825475017602,2.9927680798350997,3.071272683232299,60865.0,59245.000000000015,-2.125955542057236,0.03801119932992395,True,57
Galaxy Watch5,Galaxy Watch,2022-08-10,2022,0.07850460339719945,-2.6616281935430632,-6.787825475017602,2.9927680798350997,3.071272683232299,60865.0,59245.000000000015,-2.125955542057236,0.03801119932992395,True,57
Galaxy S22 FE,Galaxy S Series,2022-10-21,2022,0.2950121381415558,8.796091812816247,-0.03606615059817386,2.699073300973151,2.994085439114707,55189.68253968254,60044.21768707483,-5.484732914584592,1.076353446654786e-06,True,57
Galaxy S23 Series,Galaxy S Series,2023-02-01,2023,0.24884748620548747,2.163175016265455,-11.26688951442646,2.7702873195836424,3.01913480578913,60992.0634920635,62311.42857142858,-5.276964027167156,2.2910350049566103e-06,True,57
Galaxy S23 Ultra,Galaxy S Series,2023-02-01,2023,0.24884748620548747,2.163175016265455,-11.26688951442646,2.7702873195836424,3.01913480578913,60992.0634920635,62311.42857142858,-5.276964027167156,2.2910350049566103e-06,True,57
Galaxy A54/A34,Galaxy A Series,2023-04-21,2023,0.08578039474310417,1.5550771102946508,-9.37350457424349,2.950203672293736,3.03598406703684,64257.14285714286,65256.390977443625,-1.7028095465949205,0.09424944532918482,False,57
Galaxy Z Fold5,Galaxy Z Series,2023-07-26,2023,0.03046220823896917,-4.5669652197304,-9.989619985925408,3.230525526430497,3.2609877346694662,71695.0,68420.71428571429,-0.7638695336204967,0.44820961634537715,False,57
Galaxy Z Flip5,Galaxy Z Series,2023-07-26,2023,0.03046220823896917,-4.5669652197304,-9.989619985925408,3.230525526430497,3.2609877346694662,71695.0,68420.71428571429,-0.7638695336204967,0.44820961634537715,False,57
Galaxy Watch6,Galaxy Watch,2023-08-24,2023,0.010260214119840239,1.7639324089694226,-3.374912033779019,3.2640583036141604,3.2743185177340006,68318.04511278195,69523.12925170067,-0.26389616863051263,0.792846216102923,False,57
Galaxy S23 FE,Galaxy S Series,2023-10-04,2023,0.1183012717959735,-2.6669729219304172,14.356790992258976,3.1410897467194623,3.259391018515436,69969.64285714286,68103.57142857143,-3.891598011786023,0.00027130797812920825,True,57
Galaxy S24 Series,Galaxy S Series,2024-01-17,2024,-0.1181261173232433,-1.9671234224819125,6.672589725545386,3.2185251646373763,3.100399047314133,75502.52100840336,74017.29323308273,4.251149717291742,8.301650130496978e-05,True,57
Galaxy S24 Ultra,Galaxy S Series,2024-01-17,2024,-0.1181261173232433,-1.9671234224819125,6.672589725545386,3.2185251646373763,3.100399047314133,75502.52100840336,74017.29323308273,4.251149717291742,8.301650130496978e-05,True,57
Galaxy Z Fold6,Galaxy Z Series,2024-07-10,2024,-0.1407586648869974,1.0365092430205238,-4.540464461646721,3.3431585776028605,3.202399912715863,81572.85714285713,82418.36734693877,3.6663198353017163,0.0005556346038992078,True,57
Galaxy Z Flip6,Galaxy Z Series,2024-07-10,2024,-0.1407586648869974,1.0365092430205238,-4.540464461646721,3.3431585776028605,3.202399912715863,81572.85714285713,82418.36734693877,3.6663198353017163,0.0005556346038992078,True,57
Galaxy Watch7,Galaxy Watch,2024-07-10,2024,-0.1407586648869974,1.0365092430205238,-4.540464461646721,3.3431585776028605,3.202399912715863,81572.85714285713,82418.36734693877,3.6663198353017163,0.0005556346038992078,True,57
