Date,Close,Open,High,Low,Vol.
12/29/2023,192.53,193.9,194.4,191.73,42.67M
12/28/2023,193.58,194.14,194.66,193.17,34.05M
12/27/2023,193.15,192.49,193.5,191.09,48.09M
12/26/2023,193.05,193.61,193.89,192.83,28.92M
12/22/2023,193.6,195.18,195.41,192.97,37.15M
12/21/2023,194.68,196.1,197.08,193.5,46.48M
12/20/2023,194.83,196.9,197.68,194.83,52.24M
12/19/2023,196.94,196.16,196.95,195.89,40.71M
12/18/2023,195.89,196.09,196.63,194.39,55.75M
12/15/2023,197.57,197.53,198.4,197,128.54M
12/14/2023,198.11,198.02,199.62,196.16,66.83M
12/13/2023,197.96,195.09,198,194.85,70.40M
12/12/2023,194.71,193.08,194.72,191.72,52.70M
12/11/2023,193.18,193.11,193.49,191.42,60.94M
12/08/2023,195.71,194.2,195.99,193.67,53.41M
12/07/2023,194.27,193.63,195,193.59,47.48M
12/06/2023,192.32,194.45,194.76,192.11,41.09M
12/05/2023,193.42,190.21,194.4,190.18,66.63M
12/04/2023,189.43,189.98,190.05,187.45,43.39M
12/01/2023,191.24,190.33,191.56,189.23,45.70M
11/30/2023,189.95,189.84,190.32,188.19,48.79M
11/29/2023,189.37,190.9,192.09,188.97,43.01M
11/28/2023,190.4,189.78,191.08,189.4,38.42M
11/27/2023,189.79,189.92,190.67,188.9,40.55M
11/24/2023,189.97,190.87,190.9,189.25,24.05M
11/22/2023,191.31,191.49,192.93,190.82,39.63M
11/21/2023,190.64,191.41,191.52,189.74,38.13M
11/20/2023,191.45,189.89,191.9,189.88,46.54M
11/17/2023,189.69,190.25,190.38,188.57,50.94M
11/16/2023,189.71,189.57,190.96,188.65,54.41M
11/15/2023,188.01,187.85,189.5,187.78,53.79M
11/14/2023,187.44,187.7,188.11,186.3,60.11M
11/13/2023,184.8,185.82,186.03,184.21,43.63M
11/10/2023,186.4,183.97,186.57,183.53,66.18M
11/09/2023,182.41,182.96,184.12,181.81,53.76M
11/08/2023,182.89,182.35,183.45,181.59,49.34M
11/07/2023,181.82,179.18,182.44,178.97,70.53M
11/06/2023,179.23,176.38,179.43,176.21,63.84M
11/03/2023,176.65,174.24,176.82,173.35,79.83M
11/02/2023,177.57,175.52,177.78,175.46,77.33M
11/01/2023,173.97,171,174.23,170.12,56.93M
10/31/2023,170.77,169.35,170.9,167.9,44.85M
10/30/2023,170.29,169.02,171.17,168.87,51.13M
10/27/2023,168.22,166.91,168.96,166.83,58.50M
10/26/2023,166.89,170.37,171.38,165.67,70.63M
10/25/2023,171.1,171.88,173.06,170.65,57.16M
10/24/2023,173.44,173.05,173.67,171.45,43.82M
10/23/2023,173,170.91,174.01,169.93,55.98M
10/20/2023,172.88,175.31,175.42,172.64,64.24M
10/19/2023,175.46,176.04,177.84,175.19,59.30M
10/18/2023,175.84,175.58,177.57,175.11,54.76M
10/17/2023,177.15,176.65,178.42,174.8,57.55M
10/16/2023,178.72,176.75,179.07,176.51,52.52M
10/13/2023,178.85,181.42,181.93,178.14,51.46M
10/12/2023,180.71,180.07,182.34,179.04,56.74M
10/11/2023,179.8,178.2,179.85,177.6,47.55M
10/10/2023,178.39,178.1,179.72,177.95,43.70M
10/09/2023,178.99,176.81,179.05,175.8,42.39M
10/06/2023,177.49,173.8,177.99,173.18,57.27M
10/05/2023,174.91,173.79,175.45,172.68,48.53M
10/04/2023,173.66,171.09,174.21,170.97,53.02M
10/03/2023,172.4,172.26,173.63,170.82,49.59M
10/02/2023,173.75,171.22,174.3,170.93,52.16M
09/29/2023,171.21,172.02,173.07,170.34,51.86M
09/28/2023,170.69,169.34,172.03,167.62,56.29M
09/27/2023,170.43,172.62,173.04,169.05,66.92M
09/26/2023,171.96,174.82,175.2,171.66,64.59M
09/25/2023,176.08,174.2,176.97,174.15,46.17M
09/22/2023,174.79,174.67,177.08,174.05,56.73M
09/21/2023,173.93,174.55,176.3,173.86,63.15M
09/20/2023,175.49,179.26,179.7,175.4,58.44M
09/19/2023,179.07,177.52,179.63,177.13,51.83M
09/18/2023,177.97,176.48,179.38,176.17,67.26M
09/15/2023,175.01,176.48,176.49,173.82,109.26M
09/14/2023,175.74,174,176.1,173.58,60.90M
09/13/2023,174.21,176.51,177.3,173.98,84.27M
09/12/2023,176.3,179.49,180.13,174.82,90.37M
09/11/2023,179.36,180.07,180.3,177.34,58.95M
09/08/2023,178.18,178.35,180.24,177.79,65.60M
09/07/2023,177.56,175.18,178.21,173.54,112.49M
09/06/2023,182.91,188.4,188.85,181.47,81.76M
09/05/2023,189.7,188.28,189.98,187.61,45.28M
09/01/2023,189.46,189.49,189.92,188.28,45.77M
08/31/2023,187.87,187.84,189.12,187.48,60.79M
08/30/2023,187.65,184.94,187.85,184.74,60.81M
08/29/2023,184.12,179.7,184.9,179.5,53.00M
08/28/2023,180.19,180.09,180.59,178.54,43.82M
08/25/2023,178.61,177.38,179.15,175.82,51.45M
08/24/2023,176.38,180.67,181.1,176.01,54.95M
08/23/2023,181.12,178.52,181.55,178.32,52.72M
08/22/2023,177.23,177.06,177.68,176.25,42.08M
08/21/2023,175.84,175.07,176.13,173.74,46.31M
08/18/2023,174.49,172.3,175.1,171.96,61.17M
08/17/2023,174,177.14,177.51,173.48,66.06M
08/16/2023,176.57,177.13,178.54,176.5,46.96M
08/15/2023,177.45,178.88,179.48,177.05,43.62M
08/14/2023,179.46,177.97,179.69,177.3,43.68M
08/11/2023,177.79,177.32,178.62,176.55,52.04M
08/10/2023,177.97,179.48,180.75,177.6,54.69M
08/09/2023,178.19,180.87,180.93,177.01,60.38M
08/08/2023,179.8,179.69,180.27,177.58,67.82M
08/07/2023,178.85,182.13,183.13,177.35,97.58M
08/04/2023,181.99,185.52,187.38,181.92,115.96M
08/03/2023,191.17,191.57,192.37,190.69,62.24M
08/02/2023,192.58,195.04,195.18,191.85,50.39M
08/01/2023,195.6,196.24,196.73,195.28,35.28M
07/31/2023,196.45,196.06,196.49,195.26,38.82M
07/28/2023,195.83,194.67,196.63,194.14,48.29M
07/27/2023,193.22,196.02,197.2,192.55,47.46M
07/26/2023,194.5,193.67,195.64,193.32,47.47M
07/25/2023,193.62,193.33,194.44,192.91,37.28M
07/24/2023,192.75,193.41,194.91,192.25,45.51M
07/21/2023,191.94,194.1,194.97,191.23,71.95M
07/20/2023,193.13,195.09,196.47,192.49,59.58M
07/19/2023,195.1,193.1,198.23,192.65,80.51M
07/18/2023,193.73,193.35,194.33,192.41,48.35M
07/17/2023,193.99,191.9,194.32,191.81,50.52M
07/14/2023,190.69,190.23,191.18,189.63,41.62M
07/13/2023,190.54,190.5,191.19,189.78,41.34M
07/12/2023,189.77,189.68,191.7,188.47,60.75M
07/11/2023,188.08,189.16,189.3,186.6,46.64M
07/10/2023,188.61,189.26,189.99,187.04,59.92M
07/07/2023,190.68,191.41,192.67,190.24,46.82M
07/06/2023,191.81,189.84,192.02,189.2,45.16M
07/05/2023,191.33,191.57,192.98,190.62,46.92M
07/03/2023,192.46,193.78,193.88,191.76,31.46M
06/30/2023,193.97,191.63,194.48,191.26,85.21M
06/29/2023,189.59,189.08,190.07,188.94,46.35M
06/28/2023,189.25,187.93,189.9,187.6,51.22M
06/27/2023,188.06,185.89,188.39,185.67,50.73M
06/26/2023,185.27,186.83,188.05,185.23,48.09M
06/23/2023,186.68,185.55,187.56,185.01,53.12M
06/22/2023,187,183.74,187.04,183.67,51.25M
06/21/2023,183.96,184.9,185.41,182.59,49.52M
06/20/2023,185.01,184.41,186.1,184.41,49.80M
06/16/2023,184.92,186.73,186.99,184.27,101.26M
06/15/2023,186.01,183.96,186.52,183.78,65.43M
06/14/2023,183.95,183.37,184.39,182.02,57.46M
06/13/2023,183.31,182.8,184.15,182.44,54.93M
06/12/2023,183.79,181.27,183.89,180.97,54.76M
06/09/2023,180.96,181.5,182.23,180.63,48.90M
06/08/2023,180.57,177.9,180.84,177.46,50.21M
06/07/2023,177.82,178.44,181.21,177.32,61.94M
06/06/2023,179.21,179.96,180.12,177.43,64.85M
06/05/2023,179.58,182.63,184.95,178.04,121.95M
06/02/2023,180.95,181.03,181.78,179.26,62.00M
06/01/2023,180.09,177.7,180.12,176.93,68.90M
05/31/2023,177.25,177.32,179.35,176.76,99.63M
05/30/2023,177.3,176.96,178.99,176.57,55.96M
05/26/2023,175.43,173.32,175.77,173.11,54.84M
05/25/2023,172.99,172.41,173.9,171.69,56.06M
05/24/2023,171.84,171.09,172.42,170.52,45.14M
05/23/2023,171.56,173.13,173.38,171.27,50.75M
05/22/2023,174.2,173.98,174.71,173.45,43.57M
05/19/2023,175.16,176.39,176.39,174.94,55.81M
05/18/2023,175.05,173,175.24,172.58,65.50M
05/17/2023,172.69,171.71,172.93,170.42,57.95M
05/16/2023,172.07,171.99,173.14,171.8,42.11M
05/15/2023,172.07,173.16,173.21,171.47,37.27M
05/12/2023,172.57,173.62,174.06,171,45.53M
05/11/2023,173.75,173.85,174.59,172.17,49.51M
05/10/2023,173.55,173.02,174.03,171.9,53.72M
05/09/2023,171.77,173.05,173.54,171.6,45.33M
05/08/2023,173.5,172.48,173.85,172.11,55.96M
05/05/2023,173.57,170.98,174.3,170.76,113.45M
05/04/2023,165.79,164.89,167.04,164.31,81.24M
05/03/2023,167.45,169.5,170.92,167.16,65.14M
05/02/2023,168.54,170.09,170.35,167.54,48.43M
05/01/2023,169.59,169.28,170.45,168.64,52.47M
04/28/2023,169.68,168.49,169.85,167.88,55.28M
04/27/2023,168.41,165.19,168.56,165.19,64.90M
04/26/2023,163.76,163.05,165.28,162.8,45.50M
04/25/2023,163.77,165.19,166.3,163.73,48.71M
04/24/2023,165.33,165,165.6,163.89,41.95M
04/21/2023,165.02,165.05,166.45,164.49,58.34M
04/20/2023,166.65,166.09,167.87,165.56,52.46M
04/19/2023,167.63,165.8,168.16,165.54,47.72M
04/18/2023,166.47,166.1,167.41,165.65,49.92M
04/17/2023,165.23,165.09,165.39,164.03,41.52M
04/14/2023,165.21,164.59,166.32,163.82,49.39M
04/13/2023,165.56,161.63,165.8,161.42,68.45M
04/12/2023,160.1,161.22,162.06,159.78,50.13M
04/11/2023,160.8,162.35,162.36,160.51,47.64M
04/10/2023,162.03,161.42,162.03,160.08,47.72M
04/06/2023,164.66,162.43,164.96,162,45.39M
04/05/2023,163.76,164.74,165.05,161.8,51.51M
04/04/2023,165.63,166.6,166.84,165.11,46.28M
04/03/2023,166.17,164.27,166.29,164.22,56.98M
03/31/2023,164.9,162.44,165,161.91,68.75M
03/30/2023,162.36,161.53,162.47,161.27,49.50M
03/29/2023,160.77,159.37,161.05,159.35,51.31M
03/28/2023,157.65,157.97,158.49,155.98,45.99M
03/27/2023,158.28,159.94,160.77,157.87,52.39M
03/24/2023,160.25,158.86,160.34,157.85,59.26M
03/23/2023,158.93,158.83,161.55,157.68,67.62M
03/22/2023,157.83,159.3,162.14,157.81,75.70M
03/21/2023,159.28,157.32,159.4,156.54,73.94M
03/20/2023,157.4,155.07,157.82,154.15,73.64M
03/17/2023,155,156.08,156.74,154.28,98.94M
03/16/2023,155.85,152.16,156.46,151.64,76.25M
03/15/2023,152.99,151.19,153.24,149.92,77.17M
03/14/2023,152.59,151.28,153.4,150.1,73.70M
03/13/2023,150.47,147.8,153.14,147.7,84.46M
03/10/2023,148.5,150.21,150.94,147.61,68.57M
03/09/2023,150.59,153.56,154.54,150.23,53.83M
03/08/2023,152.87,152.81,153.47,151.83,47.20M
03/07/2023,151.6,153.7,154.03,151.13,56.18M
03/06/2023,153.83,153.79,156.3,153.46,87.56M
03/03/2023,151.03,148.04,151.11,147.33,70.73M
03/02/2023,145.91,144.38,146.71,143.9,52.28M
03/01/2023,145.31,146.83,147.23,145.01,55.48M
02/28/2023,147.41,147.05,149.08,146.83,50.55M
02/27/2023,147.92,147.71,149.17,147.45,45.00M
02/24/2023,146.71,147.11,147.19,145.72,55.47M
02/23/2023,149.4,150.09,150.34,147.24,48.39M
02/22/2023,148.91,148.87,149.95,147.16,51.01M
02/21/2023,148.48,150.2,151.3,148.4,58.87M
02/17/2023,152.55,152.35,153,150.85,59.14M
02/16/2023,153.71,153.51,156.33,153.35,68.17M
02/15/2023,155.33,153.11,155.5,152.88,65.67M
02/14/2023,153.2,152.12,153.77,150.86,61.71M
02/13/2023,153.85,150.95,154.26,150.92,62.20M
02/10/2023,151.01,149.46,151.34,149.22,57.45M
02/09/2023,150.87,153.77,154.33,150.42,56.01M
02/08/2023,151.92,153.88,154.58,151.17,64.12M
02/07/2023,154.65,150.64,155.23,150.64,83.32M
02/06/2023,151.73,152.57,153.1,150.78,69.86M
02/03/2023,154.5,148.03,157.38,147.83,154.36M
02/02/2023,150.82,148.9,151.18,148.17,118.34M
02/01/2023,145.43,143.97,146.61,141.32,77.66M
01/31/2023,144.29,142.7,144.34,142.28,65.87M
01/30/2023,143,144.96,145.55,142.85,64.02M
01/27/2023,145.93,143.15,147.23,143.08,70.56M
01/26/2023,143.96,143.17,144.25,141.9,54.11M
01/25/2023,141.86,140.89,142.43,138.81,65.80M
01/24/2023,142.53,140.3,143.16,140.3,66.44M
01/23/2023,141.11,138.12,143.32,137.9,81.76M
01/20/2023,137.87,135.28,138.02,134.22,80.22M
01/19/2023,135.27,134.08,136.25,133.77,58.28M
01/18/2023,135.21,136.82,138.61,135.03,69.67M
01/17/2023,135.94,134.83,137.29,134.13,63.65M
01/13/2023,134.76,132.03,134.92,131.66,57.81M
01/12/2023,133.41,133.88,134.26,131.44,71.38M
01/11/2023,133.49,131.25,133.51,130.46,69.46M
01/10/2023,130.73,130.26,131.26,128.12,63.90M
01/09/2023,130.15,130.46,133.41,129.89,70.79M
01/06/2023,129.62,126.01,130.29,124.89,87.75M
01/05/2023,125.02,127.13,127.77,124.76,80.96M
01/04/2023,126.36,126.89,128.66,125.08,89.11M
01/03/2023,125.07,130.28,130.9,124.17,112.12M
